node_1,node_2,neighbours_1,neighbours_2,density_ego_with_node_1,density_ego_without_node_1,density_ego_with_node_2,density_ego_without_node_2,common_neigbhours,total_neigbhours,jaccard_coefficient,prefferential_attachment,friends_measure,shortest_path,link_exists
3466.0,937.0,8.0,5.0,0.3888888888888889,0.21428571428571427,0.5333333333333333,0.3,1.0,12.0,0.08333333333333333,40.0,17.0,1.0,1.0
3466.0,5233.0,8.0,2.0,0.3888888888888889,0.21428571428571427,1.0,1.0,1.0,9.0,0.1111111111111111,16.0,10.0,1.0,1.0
3466.0,8579.0,8.0,5.0,0.3888888888888889,0.21428571428571427,0.5333333333333333,0.3,2.0,11.0,0.18181818181818182,40.0,17.0,1.0,1.0
3466.0,10310.0,8.0,13.0,0.3888888888888889,0.21428571428571427,0.18681318681318682,0.05128205128205128,1.0,20.0,0.05,104.0,21.0,1.0,1.0
3466.0,15931.0,8.0,10.0,0.3888888888888889,0.21428571428571427,0.34545454545454546,0.2,2.0,16.0,0.125,80.0,24.0,1.0,1.0
3466.0,17038.0,8.0,17.0,0.3888888888888889,0.21428571428571427,0.22875816993464052,0.1323529411764706,0.0,25.0,0.0,136.0,24.0,1.0,1.0
3466.0,18720.0,8.0,3.0,0.3888888888888889,0.21428571428571427,1.0,1.0,2.0,9.0,0.2222222222222222,24.0,15.0,1.0,1.0
3466.0,19607.0,8.0,4.0,0.3888888888888889,0.21428571428571427,0.8,0.6666666666666666,3.0,9.0,0.3333333333333333,32.0,17.0,1.0,1.0
937.0,8579.0,5.0,5.0,0.5333333333333333,0.3,0.5333333333333333,0.3,2.0,8.0,0.25,25.0,12.0,1.0,1.0
937.0,14924.0,5.0,23.0,0.5333333333333333,0.3,0.18115942028985507,0.1067193675889328,1.0,27.0,0.037037037037037035,115.0,30.0,1.0,1.0
937.0,4135.0,5.0,5.0,0.5333333333333333,0.3,0.4666666666666667,0.2,1.0,9.0,0.1111111111111111,25.0,11.0,1.0,1.0
937.0,18233.0,5.0,3.0,0.5333333333333333,0.3,0.8333333333333334,0.6666666666666666,1.0,7.0,0.14285714285714285,15.0,10.0,1.0,1.0
5233.0,10310.0,2.0,13.0,1.0,1.0,0.18681318681318682,0.05128205128205128,1.0,14.0,0.07142857142857142,26.0,15.0,1.0,1.0
8579.0,16258.0,5.0,13.0,0.5333333333333333,0.3,0.23076923076923078,0.10256410256410256,0.0,18.0,0.0,65.0,17.0,1.0,1.0
8579.0,4135.0,5.0,5.0,0.5333333333333333,0.3,0.4666666666666667,0.2,1.0,9.0,0.1111111111111111,25.0,11.0,1.0,1.0
8579.0,19607.0,5.0,4.0,0.5333333333333333,0.3,0.8,0.6666666666666666,1.0,8.0,0.125,20.0,12.0,1.0,1.0
10310.0,1854.0,13.0,8.0,0.18681318681318682,0.05128205128205128,0.4166666666666667,0.25,0.0,21.0,0.0,104.0,21.0,1.0,1.0
10310.0,4583.0,13.0,3.0,0.18681318681318682,0.05128205128205128,0.6666666666666666,0.3333333333333333,0.0,16.0,0.0,39.0,16.0,1.0,1.0
10310.0,9572.0,13.0,34.0,0.18681318681318682,0.05128205128205128,0.11932773109243698,0.0659536541889483,1.0,46.0,0.021739130434782608,442.0,53.0,1.0,1.0
10310.0,10841.0,13.0,7.0,0.18681318681318682,0.05128205128205128,0.32142857142857145,0.09523809523809523,1.0,19.0,0.05263157894736842,91.0,21.0,1.0,1.0
10310.0,13056.0,13.0,10.0,0.18681318681318682,0.05128205128205128,0.32727272727272727,0.17777777777777778,1.0,22.0,0.045454545454545456,130.0,23.0,1.0,1.0
10310.0,14982.0,13.0,2.0,0.18681318681318682,0.05128205128205128,1.0,1.0,1.0,14.0,0.07142857142857142,26.0,15.0,1.0,1.0
