Dataset,Model,Percentage of data in training,Train Accuracy,Test Accuracy
data/CondMat.csv,DecisionTreeClassifier,0.1,1.0,1.0
data/CondMat.csv,GaussianNB,0.1,0.9981388219837968,0.9969285227715065
data/CondMat.csv,KNeigborsClassifier,0.1,0.9985220056930151,0.9976705430128454
data/CondMat.csv,AdaBoostClassifier,0.1,0.9978103788044669,0.9976948715453484
data/CondMat.csv,BaggingClassifier,0.1,1.0,1.0
data/CondMat.csv,RandomForestTreeClassifier,0.1,1.0,1.0
data/CondMat.csv,DecisionTreeClassifier,0.3,1.0,1.0
data/CondMat.csv,GaussianNB,0.3,0.9968251071982484,0.9966530861204732
data/CondMat.csv,KNeigborsClassifier,0.3,0.9990329349511906,0.9983421828447204
data/CondMat.csv,AdaBoostClassifier,0.3,0.9978834047988322,0.9976305726507089
data/CondMat.csv,BaggingClassifier,0.3,1.0,1.0
data/CondMat.csv,RandomForestTreeClassifier,0.3,1.0,1.0
data/CondMat.csv,DecisionTreeClassifier,0.5,1.0,1.0
data/CondMat.csv,GaussianNB,0.5,0.9970331282433054,0.9970440761095662
data/CondMat.csv,KNeigborsClassifier,0.5,0.9991460664316525,0.9985220380547831
data/CondMat.csv,AdaBoostClassifier,0.5,0.9979418011429573,0.99747104289374
data/CondMat.csv,BaggingClassifier,0.5,1.0,1.0
data/CondMat.csv,RandomForestTreeClassifier,0.5,1.0,1.0
data/CondMat.csv,DecisionTreeClassifier,0.7,1.0,1.0
data/CondMat.csv,GaussianNB,0.7,0.9969971378970581,0.9968434113053315
data/CondMat.csv,KNeigborsClassifier,0.7,0.9992492844742645,0.9987045214027661
data/CondMat.csv,AdaBoostClassifier,0.7,0.997794773143152,0.9975002736926614
data/CondMat.csv,BaggingClassifier,0.7,1.0,1.0
data/CondMat.csv,RandomForestTreeClassifier,0.7,1.0,1.0
data/CondMat.csv,DecisionTreeClassifier,0.9,1.0,1.0
data/CondMat.csv,GaussianNB,0.9,0.9970014901316789,0.9975368109912968
data/CondMat.csv,KNeigborsClassifier,0.9,0.9993857008180519,0.9989052493294652
data/CondMat.csv,AdaBoostClassifier,0.9,0.9977131040355198,0.9976462860583503
data/CondMat.csv,BaggingClassifier,0.9,1.0,1.0
data/CondMat.csv,RandomForestTreeClassifier,0.9,1.0,1.0
data/GenRel.csv,DecisionTreeClassifier,0.1,1.0,1.0
data/GenRel.csv,GaussianNB,0.1,0.9739292364990689,0.9715775102395433
data/GenRel.csv,KNeigborsClassifier,0.1,0.9936685288640595,0.9891191924206694
data/GenRel.csv,AdaBoostClassifier,0.1,0.9970204841713222,0.9962765297257044
data/GenRel.csv,BaggingClassifier,0.1,1.0,1.0
data/GenRel.csv,RandomForestTreeClassifier,0.1,1.0,1.0
data/GenRel.csv,DecisionTreeClassifier,0.3,1.0,1.0
data/GenRel.csv,GaussianNB,0.3,0.9785253227408143,0.9768617021276595
data/GenRel.csv,KNeigborsClassifier,0.3,0.9957795431976166,0.9931914893617021
data/GenRel.csv,AdaBoostClassifier,0.3,0.9962760675273088,0.9963829787234042
data/GenRel.csv,BaggingClassifier,0.3,1.0,1.0
data/GenRel.csv,RandomForestTreeClassifier,0.3,1.0,1.0
data/GenRel.csv,DecisionTreeClassifier,0.5,1.0,1.0
data/GenRel.csv,GaussianNB,0.5,0.9796693476318141,0.9775841525171284
data/GenRel.csv,KNeigborsClassifier,0.5,0.9959785522788204,0.994489127196902
data/GenRel.csv,AdaBoostClassifier,0.5,0.9959785522788204,0.9967232648197796
data/GenRel.csv,BaggingClassifier,0.5,1.0,1.0
data/GenRel.csv,RandomForestTreeClassifier,0.5,1.0,1.0
data/GenRel.csv,DecisionTreeClassifier,0.7,1.0,1.0
data/GenRel.csv,GaussianNB,0.7,0.9799457417947763,0.9779074097058459
data/GenRel.csv,KNeigborsClassifier,0.7,0.9960104260864939,0.9964006454015142
data/GenRel.csv,AdaBoostClassifier,0.7,0.9958508431299538,0.9975176864838029
data/GenRel.csv,BaggingClassifier,0.7,1.0,1.0
data/GenRel.csv,RandomForestTreeClassifier,0.7,1.0,1.0
data/GenRel.csv,DecisionTreeClassifier,0.9,1.0,1.0
data/GenRel.csv,GaussianNB,0.9,0.9803475382705834,0.9810126582278481
data/GenRel.csv,KNeigborsClassifier,0.9,0.9961936284650393,0.9966492926284438
data/GenRel.csv,AdaBoostClassifier,0.9,0.9961108812577576,0.9985107967237528
data/GenRel.csv,BaggingClassifier,0.9,1.0,1.0
data/GenRel.csv,RandomForestTreeClassifier,0.9,1.0,1.0
data/ErdosRenyi.csv,DecisionTreeClassifier,0.1,1.0,1.0
data/ErdosRenyi.csv,GaussianNB,0.1,1.0,1.0
data/ErdosRenyi.csv,KNeigborsClassifier,0.1,1.0,1.0
data/ErdosRenyi.csv,AdaBoostClassifier,0.1,1.0,1.0
data/ErdosRenyi.csv,BaggingClassifier,0.1,1.0,0.9999726708753519
data/ErdosRenyi.csv,RandomForestTreeClassifier,0.1,1.0,1.0
data/ErdosRenyi.csv,DecisionTreeClassifier,0.3,1.0,1.0
data/ErdosRenyi.csv,GaussianNB,0.3,1.0,1.0
data/ErdosRenyi.csv,KNeigborsClassifier,0.3,1.0,1.0
data/ErdosRenyi.csv,AdaBoostClassifier,0.3,1.0,1.0
data/ErdosRenyi.csv,BaggingClassifier,0.3,1.0,1.0
data/ErdosRenyi.csv,RandomForestTreeClassifier,0.3,1.0,1.0
data/ErdosRenyi.csv,DecisionTreeClassifier,0.5,1.0,1.0
data/ErdosRenyi.csv,GaussianNB,0.5,1.0,1.0
data/ErdosRenyi.csv,KNeigborsClassifier,0.5,1.0,1.0
data/ErdosRenyi.csv,AdaBoostClassifier,0.5,1.0,1.0
data/ErdosRenyi.csv,BaggingClassifier,0.5,1.0,0.9999508067689886
data/ErdosRenyi.csv,RandomForestTreeClassifier,0.5,1.0,1.0
data/ErdosRenyi.csv,DecisionTreeClassifier,0.7,1.0,1.0
data/ErdosRenyi.csv,GaussianNB,0.7,1.0,1.0
data/ErdosRenyi.csv,KNeigborsClassifier,0.7,1.0,1.0
data/ErdosRenyi.csv,AdaBoostClassifier,0.7,1.0,1.0
data/ErdosRenyi.csv,BaggingClassifier,0.7,1.0,1.0
data/ErdosRenyi.csv,RandomForestTreeClassifier,0.7,1.0,1.0
data/ErdosRenyi.csv,DecisionTreeClassifier,0.9,1.0,1.0
data/ErdosRenyi.csv,GaussianNB,0.9,1.0,1.0
data/ErdosRenyi.csv,KNeigborsClassifier,0.9,1.0,1.0
data/ErdosRenyi.csv,AdaBoostClassifier,0.9,1.0,1.0
data/ErdosRenyi.csv,BaggingClassifier,0.9,1.0,1.0
data/ErdosRenyi.csv,RandomForestTreeClassifier,0.9,1.0,1.0
data/BarabasiAlbert.csv,DecisionTreeClassifier,0.1,1.0,1.0
