Dataset,Model,Percentage of data in training,Train Accuracy,Test Accuracy
data/CondMat.csv,GaussianNB,0.1,0.9973177140354719,0.9964966913195796
data/CondMat.csv,DecisionTreeClassifier,0.1,1.0,1.0
data/CondMat.csv,KNeigborsClassifier,0.1,0.999835778410335,0.9996594005449592
data/CondMat.csv,AdaBoostClassifier,0.1,1.0,1.0
data/CondMat.csv,BaggingClassifier,0.1,1.0,1.0
data/CondMat.csv,GaussianNB,0.3,0.9966243955843445,0.9965592474135706
data/CondMat.csv,DecisionTreeClassifier,0.3,1.0,1.0
data/CondMat.csv,KNeigborsClassifier,0.3,0.9998722744275157,0.9998201424784366
data/CondMat.csv,AdaBoostClassifier,0.3,1.0,1.0
data/CondMat.csv,BaggingClassifier,0.3,1.0,1.0
data/CondMat.csv,GaussianNB,0.5,0.9966390050579143,0.9965185785290447
data/CondMat.csv,DecisionTreeClassifier,0.5,1.0,1.0
data/CondMat.csv,KNeigborsClassifier,0.5,0.9999343128024348,0.9998467298723479
data/CondMat.csv,AdaBoostClassifier,0.5,1.0,1.0
data/CondMat.csv,BaggingClassifier,0.5,1.0,1.0
data/CondMat.csv,GaussianNB,0.7,0.9966296000875835,0.9964602415793892
data/CondMat.csv,DecisionTreeClassifier,0.7,1.0,1.0
data/CondMat.csv,KNeigborsClassifier,0.7,0.9999452603262484,0.9998722767580192
data/CondMat.csv,AdaBoostClassifier,0.7,1.0,1.0
data/CondMat.csv,BaggingClassifier,0.7,1.0,1.0
data/CondMat.csv,GaussianNB,0.9,0.9965027521819785,0.9972631233236631
data/CondMat.csv,DecisionTreeClassifier,0.9,1.0,1.0
data/CondMat.csv,KNeigborsClassifier,0.9,0.9999635069792903,0.9998905249329465
data/CondMat.csv,AdaBoostClassifier,0.9,1.0,1.0
data/CondMat.csv,BaggingClassifier,0.9,1.0,1.0
data/GenRel.csv,GaussianNB,0.1,0.9735567970204841,0.9696330313185222
data/GenRel.csv,DecisionTreeClassifier,0.1,1.0,1.0
data/GenRel.csv,KNeigborsClassifier,0.1,0.9977653631284916,0.9942906789127467
data/GenRel.csv,AdaBoostClassifier,0.1,1.0,1.0
data/GenRel.csv,BaggingClassifier,0.1,1.0,1.0
data/GenRel.csv,GaussianNB,0.3,0.977656405163853,0.9760106382978724
data/GenRel.csv,DecisionTreeClassifier,0.3,1.0,1.0
data/GenRel.csv,KNeigborsClassifier,0.3,0.9987586891757696,0.9978191489361702
data/GenRel.csv,AdaBoostClassifier,0.3,1.0,1.0
data/GenRel.csv,BaggingClassifier,0.3,1.0,1.0
data/GenRel.csv,GaussianNB,0.5,0.9790735775990468,0.9767649687220733
data/GenRel.csv,DecisionTreeClassifier,0.5,1.0,1.0
data/GenRel.csv,KNeigborsClassifier,0.5,0.9991063449508489,0.9986595174262735
data/GenRel.csv,AdaBoostClassifier,0.5,1.0,1.0
data/GenRel.csv,BaggingClassifier,0.5,1.0,1.0
data/GenRel.csv,GaussianNB,0.7,0.9794137986063088,0.9777832940300359
data/GenRel.csv,DecisionTreeClassifier,0.7,1.0,1.0
data/GenRel.csv,KNeigborsClassifier,0.7,0.9990425022607585,0.9993794216209507
data/GenRel.csv,AdaBoostClassifier,0.7,1.0,1.0
data/GenRel.csv,BaggingClassifier,0.7,1.0,1.0
data/GenRel.csv,GaussianNB,0.9,0.9799751758378155,0.9806403574087863
data/GenRel.csv,DecisionTreeClassifier,0.9,1.0,1.0
data/GenRel.csv,KNeigborsClassifier,0.9,0.9992966487381051,0.9996276991809382
data/GenRel.csv,AdaBoostClassifier,0.9,1.0,1.0
data/GenRel.csv,BaggingClassifier,0.9,1.0,1.0
data/ErdosRenyi.csv,GaussianNB,0.1,1.0,1.0
data/ErdosRenyi.csv,DecisionTreeClassifier,0.1,1.0,1.0
data/ErdosRenyi.csv,KNeigborsClassifier,0.1,1.0,1.0
data/ErdosRenyi.csv,AdaBoostClassifier,0.1,1.0,1.0
data/ErdosRenyi.csv,BaggingClassifier,0.1,1.0,1.0
data/ErdosRenyi.csv,GaussianNB,0.3,1.0,1.0
data/ErdosRenyi.csv,DecisionTreeClassifier,0.3,1.0,1.0
data/ErdosRenyi.csv,KNeigborsClassifier,0.3,1.0,1.0
data/ErdosRenyi.csv,AdaBoostClassifier,0.3,1.0,0.9999648629655657
data/ErdosRenyi.csv,BaggingClassifier,0.3,1.0,1.0
data/ErdosRenyi.csv,GaussianNB,0.5,1.0,1.0
data/ErdosRenyi.csv,DecisionTreeClassifier,0.5,1.0,1.0
data/ErdosRenyi.csv,KNeigborsClassifier,0.5,1.0,1.0
data/ErdosRenyi.csv,AdaBoostClassifier,0.5,1.0,1.0
data/ErdosRenyi.csv,BaggingClassifier,0.5,1.0,0.9999508067689886
