Dataset,Model,Percentage of data in training,Train Accuracy,Test Accuracy
data/CondMat.csv,DecisionTreeClassifier,0.1,0.9944712064812787,0.993449542623589
data/CondMat.csv,GaussianNB,0.1,0.9800197065907598,0.9806466523939276
data/CondMat.csv,KNeigborsClassifier,0.1,0.9923363258156339,0.9901408622031919
data/CondMat.csv,AdaBoostClassifier,0.1,0.9989599299321218,0.9986376021798365
data/CondMat.csv,BaggingClassifier,0.1,0.9944712064812787,0.993449542623589
data/CondMat.csv,RandomForestTreeClassifier,0.1,0.9944712064812787,0.993449542623589
data/CondMat.csv,DecisionTreeClassifier,0.3,0.9939421585621749,0.9933843711633654
data/CondMat.csv,GaussianNB,0.3,0.9794726758507435,0.979816858123695
data/CondMat.csv,KNeigborsClassifier,0.3,0.9965696560532799,0.9948545109048398
data/CondMat.csv,AdaBoostClassifier,0.3,0.9989234558890612,0.9986393387499121
data/CondMat.csv,BaggingClassifier,0.3,0.9939421585621749,0.9933843711633654
data/CondMat.csv,RandomForestTreeClassifier,0.3,0.9939421585621749,0.9933843711633654
data/CondMat.csv,DecisionTreeClassifier,0.5,0.9937268726325239,0.9933765409121762
data/CondMat.csv,GaussianNB,0.5,0.9806770160495719,0.9800858312714852
data/CondMat.csv,KNeigborsClassifier,0.5,0.99747104289374,0.9964200477326969
data/CondMat.csv,AdaBoostClassifier,0.5,0.9989490048389569,0.99860962098487
data/CondMat.csv,BaggingClassifier,0.5,0.9937268726325239,0.9933765409121762
data/CondMat.csv,RandomForestTreeClassifier,0.5,0.9937268726325239,0.9933765409121762
data/CondMat.csv,DecisionTreeClassifier,0.7,0.9935172586371385,0.9936320840783855
data/CondMat.csv,GaussianNB,0.7,0.9799183596865763,0.9796372659927746
data/CondMat.csv,KNeigborsClassifier,0.7,0.9977634933295798,0.9971353501441448
data/CondMat.csv,AdaBoostClassifier,0.7,0.9987644473638937,0.998613290515637
data/CondMat.csv,BaggingClassifier,0.7,0.9935172586371385,0.9936320840783855
data/CondMat.csv,RandomForestTreeClassifier,0.7,0.9935172586371385,0.9936320840783855
data/CondMat.csv,DecisionTreeClassifier,0.9,0.9935650640148405,0.9934314959767913
