Dataset,Model,Percentage of data in training,Train Accuracy,Test Accuracy
data/CondMat.csv,DecisionTreeClassifier,0.1,0.994361725421502,0.9933643927598287
data/CondMat.csv,GaussianNB,0.1,0.9796365228815415,0.980525009731413
data/CondMat.csv,KNeigborsClassifier,0.1,0.9789248959929933,0.9716755060334761
data/CondMat.csv,AdaBoostClassifier,0.1,1.0,0.9988139840404827
data/CondMat.csv,BaggingClassifier,0.1,0.9944712064812787,0.993449542623589
data/CondMat.csv,RandomForestTreeClassifier,0.1,0.9944712064812787,0.993449542623589
data/CondMat.csv,DecisionTreeClassifier,0.3,0.9928473679408814,0.9921331884046638
data/CondMat.csv,GaussianNB,0.3,0.9791442386643554,0.9795040624340197
data/CondMat.csv,KNeigborsClassifier,0.3,0.9844539731776297,0.9780808420459967
data/CondMat.csv,AdaBoostClassifier,0.3,0.9993978651582884,0.9989208548706199
data/CondMat.csv,BaggingClassifier,0.3,0.9939421585621749,0.9933843711633654
data/CondMat.csv,RandomForestTreeClassifier,0.3,0.9939421585621749,0.9933843711633654
data/CondMat.csv,DecisionTreeClassifier,0.5,0.9925335552100896,0.9921613277572201
data/CondMat.csv,GaussianNB,0.5,0.9801405706027895,0.9796588644873114
data/CondMat.csv,KNeigborsClassifier,0.5,0.9866107595629612,0.9797245516848766
data/CondMat.csv,AdaBoostClassifier,0.5,0.9993102844255655,0.9989490048389569
data/CondMat.csv,BaggingClassifier,0.5,0.9937268726325239,0.9933765409121762
data/CondMat.csv,RandomForestTreeClassifier,0.5,0.9937268726325239,0.9933765409121762
data/CondMat.csv,DecisionTreeClassifier,0.7,0.9923208057679976,0.9924095901908551
data/CondMat.csv,GaussianNB,0.7,0.979480442296564,0.9793270809765354
data/CondMat.csv,KNeigborsClassifier,0.7,0.9876601135457233,0.9817173302193191
data/CondMat.csv,AdaBoostClassifier,0.7,0.9992492844742645,0.9989964602415794
data/CondMat.csv,BaggingClassifier,0.7,0.9935172586371385,0.9936320840783855
data/CondMat.csv,RandomForestTreeClassifier,0.7,0.9935172586371385,0.9936320840783855
data/CondMat.csv,DecisionTreeClassifier,0.9,0.9923668765015358,0.9921725327056763
data/CondMat.csv,GaussianNB,0.9,0.9794118541495606,0.9810060758662215
data/CondMat.csv,KNeigborsClassifier,0.9,0.9883891372441688,0.9835787399419782
data/CondMat.csv,AdaBoostClassifier,0.9,0.9989781954201259,0.998741036728885
data/CondMat.csv,BaggingClassifier,0.9,0.9935650640148405,0.9934314959767913
data/CondMat.csv,RandomForestTreeClassifier,0.9,0.9935650640148405,0.9934314959767913
data/GenRel.csv,DecisionTreeClassifier,0.1,0.9891992551210428,0.990567208638451
data/GenRel.csv,GaussianNB,0.1,0.9508379888268157,0.9475818129163046
data/GenRel.csv,KNeigborsClassifier,0.1,0.9556797020484171,0.933887716685284
data/GenRel.csv,AdaBoostClassifier,0.1,1.0,0.997724545943486
data/GenRel.csv,BaggingClassifier,0.1,0.9914338919925512,0.9909809275578172
data/GenRel.csv,RandomForestTreeClassifier,0.1,0.9914338919925512,0.9923461999917256
data/GenRel.csv,DecisionTreeClassifier,0.3,0.9895729890764647,0.9907978723404255
data/GenRel.csv,GaussianNB,0.3,0.9499751737835154,0.9493617021276596
data/GenRel.csv,KNeigborsClassifier,0.3,0.9658639523336644,0.9525
data/GenRel.csv,AdaBoostClassifier,0.3,1.0,0.9978191489361702
data/GenRel.csv,BaggingClassifier,0.3,0.9923038728897716,0.9923936170212766
data/GenRel.csv,RandomForestTreeClassifier,0.3,0.9923038728897716,0.9923936170212766
data/GenRel.csv,DecisionTreeClassifier,0.5,0.989871909442955,0.9909889782543938
data/GenRel.csv,GaussianNB,0.5,0.9507000297885017,0.9518170985999405
data/GenRel.csv,KNeigborsClassifier,0.5,0.9699136133452487,0.9582216264521894
data/GenRel.csv,AdaBoostClassifier,0.5,0.9996276437295204,0.9980637473935061
data/GenRel.csv,BaggingClassifier,0.5,0.9924039320822162,0.9923294608281203
data/GenRel.csv,RandomForestTreeClassifier,0.5,0.9922549895740245,0.9921805183199285
data/GenRel.csv,DecisionTreeClassifier,0.7,0.9901590510133518,0.9910636713416905
data/GenRel.csv,GaussianNB,0.7,0.9508484493856056,0.953828968598734
data/GenRel.csv,KNeigborsClassifier,0.7,0.9723389541996915,0.9587935956311282
data/GenRel.csv,AdaBoostClassifier,0.7,0.9989893079419118,0.9985106118902818
data/GenRel.csv,BaggingClassifier,0.7,0.9922868237672217,0.9925530594514087
data/GenRel.csv,RandomForestTreeClassifier,0.7,0.9919676578541412,0.9925530594514087
data/GenRel.csv,DecisionTreeClassifier,0.9,0.9903599503516757,0.9910647803425168
data/GenRel.csv,GaussianNB,0.9,0.9528754654530409,0.9575577066269546
data/GenRel.csv,KNeigborsClassifier,0.9,0.9741414977244518,0.9609084139985108
data/GenRel.csv,AdaBoostClassifier,0.9,0.9988415390980554,0.9992553983618764
data/GenRel.csv,BaggingClassifier,0.9,0.992263136119156,0.9932985852568875
data/GenRel.csv,RandomForestTreeClassifier,0.9,0.9920562681009516,0.9932985852568875
data/ErdosRenyi.csv,DecisionTreeClassifier,0.1,1.0,1.0
data/ErdosRenyi.csv,GaussianNB,0.1,0.9990159901599016,0.9991527971359078
data/ErdosRenyi.csv,KNeigborsClassifier,0.1,1.0,1.0
data/ErdosRenyi.csv,AdaBoostClassifier,0.1,1.0,0.9999726708753519
data/ErdosRenyi.csv,BaggingClassifier,0.1,1.0,0.9999726708753519
data/ErdosRenyi.csv,RandomForestTreeClassifier,0.1,1.0,0.9999726708753519
data/ErdosRenyi.csv,DecisionTreeClassifier,0.3,1.0,1.0
data/ErdosRenyi.csv,GaussianNB,0.3,0.9990980649393244,0.999156711173577
data/ErdosRenyi.csv,KNeigborsClassifier,0.3,1.0,1.0
data/ErdosRenyi.csv,AdaBoostClassifier,0.3,1.0,0.9999648629655657
data/ErdosRenyi.csv,BaggingClassifier,0.3,1.0,0.9999648629655657
data/ErdosRenyi.csv,RandomForestTreeClassifier,0.3,1.0,1.0
data/ErdosRenyi.csv,DecisionTreeClassifier,0.5,1.0,1.0
data/ErdosRenyi.csv,GaussianNB,0.5,0.9991145218417946,0.9990653286107831
data/ErdosRenyi.csv,KNeigborsClassifier,0.5,1.0,1.0
data/ErdosRenyi.csv,AdaBoostClassifier,0.5,1.0,0.9999508067689886
data/ErdosRenyi.csv,BaggingClassifier,0.5,1.0,0.9999508067689886
data/ErdosRenyi.csv,RandomForestTreeClassifier,0.5,1.0,0.9999508067689886
data/ErdosRenyi.csv,DecisionTreeClassifier,0.7,1.0,1.0
data/ErdosRenyi.csv,GaussianNB,0.7,0.9991215432727784,0.9990981388866115
data/ErdosRenyi.csv,KNeigborsClassifier,0.7,1.0,1.0
data/ErdosRenyi.csv,AdaBoostClassifier,0.7,0.9999648617309111,1.0
