Dataset,Model,Percentage of data in training,Train Accuracy,Test Accuracy
data/GenRel.csv,Neural Network,0.1,99.73929236499069,99.6524761077324
data/GenRel.csv,Neural Network,0.3,94.14101290963256,94.86702127659574
data/GenRel.csv,Neural Network,0.5,83.6386654751266,82.79714030384272
data/GenRel.csv,Neural Network,0.7,90.56332783658705,89.93421869182077
data/GenRel.csv,Neural Network,0.9,98.87050062060405,98.99478778853313
data/CondMat.csv,Neural Network,0.1,99.07488504488724,99.06395971195018
data/CondMat.csv,Neural Network,0.3,98.85411914971262,98.86064170035736
data/CondMat.csv,Neural Network,0.5,98.899739440783,98.9479100523308
data/CondMat.csv,Neural Network,0.7,99.07098953690236,98.73006605116228
data/CondMat.csv,Neural Network,0.9,98.0111303713165,97.88713120586786
data/ErdosRenyi.csv,Neural Network,0.1,100.0,100.0
data/ErdosRenyi.csv,Neural Network,0.3,100.0,100.0
data/ErdosRenyi.csv,Neural Network,0.5,97.01397087760724,97.11727666273121
data/ErdosRenyi.csv,Neural Network,0.7,99.97188938472891,99.98360252521111
data/ErdosRenyi.csv,Neural Network,0.9,100.0,100.0
data/BarabasiAlbert.csv,Neural Network,0.1,99.85663082437276,99.86460656259956
data/BarabasiAlbert.csv,Neural Network,0.3,99.1636798088411,99.0067581404874
data/BarabasiAlbert.csv,Neural Network,0.5,99.89248082574726,99.84947315604616
data/BarabasiAlbert.csv,Neural Network,0.7,98.79678459884286,98.94875164257556
data/BarabasiAlbert.csv,Neural Network,0.9,99.93230058540082,99.89251164457184
