Dataset,Model,Percentage of data in training,Train Accuracy,Test Accuracy
GenRel,Neural Network,0.1,0.9873370577281192,0.9825410616027471
GenRel,Neural Network,0.3,0.9820009930486594,0.9852127659574468
GenRel,Neural Network,0.5,0.9756478999106345,0.977956508787608
GenRel,Neural Network,0.7,0.9963295919995745,0.9955318356708452
GenRel,Neural Network,0.9,0.9654116673562267,0.9657483246463142
CondMat,Neural Network,0.1,0.9989599299321218,0.9991241728298949
CondMat,Neural Network,0.3,0.9760058388833136,0.9751796620242573
CondMat,Neural Network,0.5,0.9969674410457402,0.9968360666506098
CondMat,Neural Network,0.7,0.9843757331206306,0.9844360106557676
CondMat,Neural Network,0.9,0.9250129246115014,0.9167989490393563
ErdosRenyi,Neural Network,0.1,0.9040590405904059,0.8913120712743571
ErdosRenyi,Neural Network,0.3,1.0,1.0
ErdosRenyi,Neural Network,0.5,0.9775186934277843,0.9820444706808343
ErdosRenyi,Neural Network,0.7,1.0,1.0
ErdosRenyi,Neural Network,0.9,0.9999453402569007,0.9985243482538121
BarabasiAlbert,Neural Network,0.1,0.9985663082437276,0.9987655304237019
BarabasiAlbert,Neural Network,0.3,0.9970131421744325,0.9990272373540856
BarabasiAlbert,Neural Network,0.5,0.9482474374596803,0.9598595082789764
BarabasiAlbert,Neural Network,0.7,0.9988223849265271,0.9986859395532195
BarabasiAlbert,Neural Network,0.9,0.8446099319023536,0.8376925833034754
