Dataset,Model,Percentage of data in training,Train Accuracy,Test Accuracy
GenRel,Neural Network,0.1,0.9869646182495344,0.9881676389061271
GenRel,Neural Network,0.3,0.8463257199602781,0.8581914893617021
GenRel,Neural Network,0.5,0.9921060470658326,0.9909145070002979
GenRel,Neural Network,0.7,0.9978190329272834,0.9977659178354226
GenRel,Neural Network,0.9,0.9778651220521307,0.9758004467609829
CondMat,Neural Network,0.1,0.994854390190497,0.9950491436356559
CondMat,Neural Network,0.3,0.9971170513639267,0.9974037957756942
CondMat,Neural Network,0.5,0.9421405268113244,0.9435090100939327
CondMat,Neural Network,0.7,0.9770953565116752,0.9790716344925738
CondMat,Neural Network,0.9,0.9652221512635708,0.966829054682796
ErdosRenyi,Neural Network,0.1,0.9995079950799508,0.9999453417507037
ErdosRenyi,Neural Network,0.3,0.9999180059035749,0.9997891777933943
ErdosRenyi,Neural Network,0.5,1.0,1.0
ErdosRenyi,Neural Network,0.7,0.9929372079131382,0.998196277773223
ErdosRenyi,Neural Network,0.9,0.9999726701284504,1.0
BarabasiAlbert,Neural Network,0.1,0.9555555555555556,0.9573510672188595
BarabasiAlbert,Neural Network,0.3,0.9753882915173238,0.9779336473479419
BarabasiAlbert,Neural Network,0.5,0.9799297541394882,0.9774926528564261
BarabasiAlbert,Neural Network,0.7,0.9988223849265271,0.9988053995938359
BarabasiAlbert,Neural Network,0.9,0.9765441440006372,0.9785023289143676
