Dataset,Model,Percentage of data in training,Train Accuracy,Test Accuracy
GenRel,Neural Network,0.1,0.8297951582867784,0.8321128625212031
GenRel,Neural Network,0.3,0.8053624627606752,0.8014361702127659
GenRel,Neural Network,0.5,0.8156091748585046,0.8065981531128984
GenRel,Neural Network,0.7,0.7987658918027555,0.8040213478962392
GenRel,Neural Network,0.9,0.7789822093504344,0.7885331347728965
CondMat,Neural Network,0.1,0.7735384278519816,0.7768526177500973
CondMat,Neural Network,0.3,0.7541282729677949,0.7619077409113303
CondMat,Neural Network,0.5,0.7408202141402641,0.7464036259333056
CondMat,Neural Network,0.7,0.7649165610972959,0.7706455497573258
CondMat,Neural Network,0.9,0.8103336070309887,0.8079259948546719
ErdosRenyi,Neural Network,0.1,0.5360393603936039,0.5835861277363286
ErdosRenyi,Neural Network,0.3,0.9988520826500492,0.9983485593815882
ErdosRenyi,Neural Network,0.5,0.9823396300669028,0.981650924832743
ErdosRenyi,Neural Network,0.7,0.9816578235356126,0.9817988029843404
ErdosRenyi,Neural Network,0.9,0.987236949986335,0.9904082636497786
BarabasiAlbert,Neural Network,0.1,0.6734767025089605,0.669759477540618
BarabasiAlbert,Neural Network,0.3,0.7444444444444445,0.7437026418185542
BarabasiAlbert,Neural Network,0.5,0.7184431223568203,0.7193749552003441
BarabasiAlbert,Neural Network,0.7,0.7225948492140699,0.7168797037390993
BarabasiAlbert,Neural Network,0.9,0.6739675839273626,0.6804012898602652
